Wall time,Step,Value
1546163273,3595,321
1546163374,3601,346
1546163376,3602,81
1546163635,3616,451
1546163659,3620,571
1546163686,3622,276
1546163738,3624,301
1546163766,3627,466
1546163780,3630,391
1546164081,3647,486
1546164185,3658,431
1546164206,3659,486
1546164280,3665,436
1546164372,3672,531
1546164732,3696,356
1546164843,3702,601
1546164885,3704,541
1546165220,3725,346
1546165273,3728,341
1546165325,3732,601
1546165335,3733,601
1546165345,3734,496
1546165393,3740,331
1546165412,3743,511
1546165439,3745,586
1546165657,3754,476
1546165773,3761,601
1546165865,3766,601
1546166032,3774,431
1546166079,3778,601
1546166128,3782,601
1546166310,3795,571
1546166340,3797,151
1546166358,3800,496
1546166481,3812,136
1546166511,3816,601
1546166614,3821,281
1546166629,3823,406
1546166790,3833,346
1546166799,3835,601
1546166891,3837,121
1546167045,3850,206
1546167313,3866,601
1546167351,3871,541
1546167457,3878,481
1546167810,3903,426
1546167819,3904,586
1546167821,3905,601
1546168019,3912,601
1546168190,3922,496
1546168363,3930,391
1546168406,3937,601
1546168542,3941,601
1546168719,3952,161
1546168789,3958,291
1546168894,3964,601
1546169125,3982,371
1546169192,3986,316
1546169348,3997,386
1546169462,4002,441
1546169552,4007,601
1546169616,4011,601
1546169620,4012,406
1546169847,4023,351
1546169849,4024,541
1546170008,4035,411
1546170028,4037,601
1546170030,4038,596
1546170106,4045,321
1546170133,4048,221
1546170135,4049,296
1546170137,4050,526
1546170241,4056,601
1546170587,4078,476
1546170967,4095,486
1546171032,4100,486
1546171043,4101,361
1546171074,4103,406
1546171164,4111,601
1546172114,4169,461
1546172316,4183,501
1546172322,4184,581
1546172471,4195,601
1546172474,4196,71
1546172499,4198,601
1546172519,4200,446
1546172608,4203,546
1546172644,4204,81
1546172673,4206,271
1546173091,4229,601
1546173139,4234,601
1546173240,4237,561
1546173284,4240,411
1546173337,4246,361
1546173491,4256,556
1546173655,4265,481
1546173730,4268,601
1546173738,4269,411
1546173867,4278,601
1546173954,4284,561
1546174277,4300,601
1546174357,4306,376
1546174402,4310,286
1546174463,4319,516
1546174485,4321,71
1546174603,4330,391
1546174697,4334,601
1546174842,4340,541
1546174895,4345,271
1546175076,4351,566
1546175198,4361,531
1546175340,4367,571
1546175454,4371,591
1546175597,4380,601
1546175783,4395,481
1546175863,4402,556
