Time,Reward,Control,Power,Up_con,Down_con,Stad_con,Turbin,EO
129,1,0,0.054498531,0.028681357,0.171318643,0.047366667,130.5,0
130,1,0,0.054791853,0.027748138,0.172251862,0.047566667,135,0
131,1,0,0.055076979,0.026896876,0.173103124,0.047766667,139.5,0
132,1,0,0.055356417,0.026102498,0.173897502,0.047966667,144,0
133,1,0,0.055629157,0.025375101,0.174624899,0.048166667,148.5,0
134,1,0,0.055895273,0.02471394,0.17528606,0.048366667,153,0
135,1,0,0.056156226,0.024104412,0.175895588,0.048566667,157.5,0
136,1,0,0.056409523,0.023571438,0.176428562,0.048766667,162,0
137,1,0,0.056657877,0.023087898,0.176912102,0.048966667,166.5,0
138,1,0,0.056900166,0.022665007,0.177334993,0.049166667,171,0
139,1,0,0.057136368,0.022302987,0.177697013,0.049366667,175.5,0
140,1,0,0.057368055,0.021986117,0.178013883,0.049566667,180,0
141,1,0,0.057592902,0.021737643,0.178262357,0.049766667,184.5,0
142,1,0,0.057813484,0.021531824,0.178468176,0.049966667,189,0
143,1,0,0.058028802,0.021378644,0.178621356,0.050166667,193.5,0
144,1,0,0.058238912,0.021277543,0.178722457,0.050366667,198,0
145,1,0,0.058445301,0.021213658,0.178786342,0.050566667,202.5,0
146,1,0,0.058645558,0.021211091,0.178788909,0.050766667,207,0
147,1,0,0.058842294,0.021243727,0.178756273,0.050966667,211.5,0
148,1,0,0.059034467,0.021321999,0.178678001,0.051166667,216,0
149,1,0,0.059222192,0.021444751,0.178555249,0.051366667,220.5,0
150,1,0,0.059406951,0.021597156,0.178402844,0.051566667,225,0
151,1,0,0.059586298,0.021803689,0.178196311,0.051766667,229.5,0
152,1,0,0.059762903,0.022037641,0.177962359,0.051966667,234,0
153,1,0,0.059935745,0.022309218,0.177690782,0.052166667,238.5,0
154,1,0,0.06010491,0.022617564,0.177382436,0.052366667,243,0
155,1,0,0.060271889,0.022947777,0.177052223,0.052566667,247.5,0
156,1,0,0.060434047,0.023326195,0.176673805,0.052766667,252,0
157,1,0,0.060594268,0.023723985,0.176276015,0.052966667,256.5,0
158,1,0,0.060751438,0.024152285,0.175847715,0.053166667,261,0
159,1,0,0.060905576,0.024610909,0.175389091,0.053366667,265.5,0
160,1,0,0.061058421,0.02508246,0.17491754,0.053566667,270,0
161,1,0,0.061208017,0.025586495,0.174413505,0.053766667,274.5,0
162,1,0,0.061358023,0.026086432,0.173913568,0.053966667,279,0
163,1,0,0.061508093,0.026585736,0.173414264,0.054166667,283.5,0
164,1,0,0.061658364,0.027083029,0.172916971,0.054366667,288,0
165,1,0,0.06181027,0.027563967,0.172436033,0.054566667,292.5,0
166,1,0,0.061960842,0.028058242,0.171941758,0.054766667,297,0
167,1,0,0.062112246,0.02854421,0.17145579,0.054966667,301.5,0
168,1,0,0.062262882,0.029037851,0.170962149,0.055166667,306,0
169,1,0,0.062412385,0.029542818,0.170457182,0.055366667,310.5,0
170,1,0,0.062562227,0.030044394,0.169955606,0.055566667,315,0
171,1,0,0.062709585,0.030570818,0.169429182,0.055766667,319.5,0
172,1,0,0.062857166,0.031095007,0.168904993,0.055966667,324,0
173,1,0,0.063003801,0.031628659,0.168371341,0.056166667,328.5,0
174,1,0,0.06314934,0.032173262,0.167826738,0.056366667,333,0
175,1,0,0.063295364,0.032713023,0.167286977,0.056566667,337.5,0
176,1,0,0.063439034,0.033276327,0.166723673,0.056766667,342,0
